n,rel,escala,grupo,nome,name,x en,y en,x pt,y pt,texto,ENDEREÇO,TELEFONE,HORÁRIO DE FUNCIONAMENTO,E-MAIL,SITE,text,ADDRESS,PHONE,OPENING TIMES,E-MAIL,SITE,ARQUITETO,PERÍODO DE CONSTRUÇÃO,LOCALIZAÇÃO,TOMBAMENTO,ARCHITECT,CONSTRUCTION PERIOD,LOCATION,LISTING,ARTES,HISTÓRIA,NATUREZA,TÉCNICA,EDUCAÇÃO E CULTURA,MUSEU,ACERVO,PATRIMÔNIO CULTURAL,CENTRO DE EXTENSÃO,HERBARIO
10,,3,museu,Herbário SPF,SPF Herbarium,730,830,730,830,"O museu de plantas da USP foi criado em 1932 na Fac. de Farmácia e transferido para o Inst. de Biociências em 1959.<br />O acervo possui cerca de 205 mil exsicatas, das quais 23 mil são algas, uma das maiores coleções da América Latina, e cerca de 100 mil plantas dos campos rupestres, uma das mais representativas do mundo. Possui cerca de 600 tipos nomenclaturais e diversas coleções relevantes associadas, principalmente uma das maiores xilotecas do Brasil.","Rua do Matão, 277, Cidade Universitária, São Paulo, SP",+55 11 3091 7545,Segunda a Sexta: 9h00 às 17h00,mellosil@usp.br,Não possui,"The plant museum of the University of Sao Paulo was created in 1932 at the School of Pharmacy and was transferred to the Institute of Biosciences in 1959.<br />The herbarium has approximately 205,000 dried specimens —including 23,000 algae, one of the largest collections in Latin America— and about 100,000 plants from campos rupestres, one of the world’s most representative collections of its kind. It also holds about 600 nomenclatural types and several relevant associated collections, especially one of the largest wood collections in Brazil. ","Rua do Matão, 277, Cidade Universitária, São Paulo, SP",+55 11 3091 7545,Monday to Friday: 9AM - 5PM,mellosil@usp.br,Não possui,,,,,,,,,,,1,,,,,,,1
11,,3,museu,Instituto de Estudos Brasileiros,Institute of Brazilian Studies,1350,240,1350,308,"O IEB é um centro multidisciplinar e multitemático que pretende congregar estudos especializados sobre o Brasil das diversas áreas das Ciências Humanas. Seu primeiro acervo foi a Brasiliana de Yan de Almeida Prado, adquirida pela USP em 1962, seguida por vários outros fundos pessoais e coleções de intelectuais e artistas brasileiros, entre eles Mário de Andrade, Guimarães Rosa, Graciliano Ramos, Anita Malfatti, Milton Santos, Caio Prado Jr., Carlos Drummond de Andrade, Camargo Guarnieri e Oswald de Andrade.","Av. Prof. Mello Morais, tr. 8, n. 140, Cidade Universitária, São Paulo, SP",+ 55 11 3091 1149,Segunda a Sexta: 9h00 às 17h00,ieb@usp.br ,www.ieb.usp.br,"The Institute for Brazilian Studies is a multidisciplinary and multi-thematic centre aimed at congregating specialised studies on Brazil in several fields of the humanities. The acquisition of Brasiliana in 1962, from Yan de Almeida Prado, marked the starting point of the collection. It was followed by the acquisition of other private collections from Brazilian intellectuals and artists, such as Mário de Andrade, Guimarães Rosa, Graciliano Ramos, Anita Malfatti, Milton Santos, Caio Prado Jr., Carlos Drummond de Andrade, Camargo Guarnieri e Oswald de Andrade.","Av. Prof. Mello Morais, tr. 8, n. 140, Cidade Universitária, São Paulo, SP",+ 55 11 3091 1149,Monday to Friday 9AM - 5PM,ieb@usp.br ,www.ieb.usp.br,,,,,,,,,1,1,,,1,,1,1,,
12,,3,museu,Museu de Anatomia Humana,Museum of Human Anatomy,417,561,417,507,"O Museu de Anatomia Humana possui um acervo de 1800 peças anatômicas de todos os sistemas, anomalias fetais, crânios de ambos os sexos, de diferentes etnias e idades e ossos do “Homem de Sambaqui” formado gradativamente em 91 anos de pesquisa pelo prof. Alfonso Bovero e seus seguidores.","Av. Prof. Lineu Prestes, 2415, Butantã, São Paulo, SP",+ 55 11 3091 7360,Segunda a Sexta: 9h00 às 15h30,musanato@icb.usp.br,www.icb.usp.br/,"The Museum of Human Anatomy holds a collection of 1,800 anatomical pieces from all systems, fetal anomalies, skulls from both sexes, from various ethnic groups and different ages. In addition, it holds bones from the Sambaqui Man, gradually collected by Professor Alfonso Bovero and his disciples during 91 years of research.","Av. Prof. Lineu Prestes, 2415, Butantã, São Paulo, SP",+ 55 11 3091 7360,Monday to Friday 9AM - 3:30PM,musanato@icb.usp.br,www.icb.usp.br/,,,,,,,,,,,1,,,1,,,,
13,,3,museu,Museu de Anatomia Veterinária,Museum of Veterinary Anatomy,290,777,169,750,"O Museu de Anatomia Veterinária da Faculdade de Medicina Veterinária e Zoologia da Universidade de São Paulo foi criado em 1984 e tem por missão a pesquisa, ensino e extensão de serviços à comunidade nas áreas de morfologia e anatomia animal. O acervo conta atualmente com cerca de 1200 exemplares, sendo composto por esqueletos, animais taxidermizados, órgãos e estruturas anatômicas de diversos vertebrados.","Av. Prof. Dr. Orlando Marques de Paiva, Cid. Universitária, São Paulo, SP",+55 11 3091 1309,"Terça a Sexta: 9h00 às 17h00, Sábados: 9h00 às 14h00",mavfmvz@usp.br,www.fmvz.usp.br,"The Museum of Veterinary Anatomy of the School of Veterinary Medicine and Zootechnics at the University of Sao Paulo was established in 1984. Its mission is to carry out research, to teach and to extend services to the animal anatomy and morphology communities. Currently, the collection has around 1,200 samples, comprising skeletons, stuffed animals, organs and anatomical structures of various vertebrates.
","Av. Prof. Dr. Orlando Marques de Paiva, Cid. Universitária, São Paulo, SP",+55 11 3091 1309,"Tuesday to Friday: 9AM - 5PM, Saturday 9AM - 2PM",mavfmvz@usp.br,www.fmvz.usp.br,,,,,,,,,,,1,,,1,,,,
15,,3,museu,Museu da Educação e do Brinquedo,Toy and Education Museum,1550,710,1550,386,"O Museu foi concebido a partir de um desdobramento das realizações do Laboratório de Brinquedos e Materiais Pedagógicos, criado na Faculdade de Educação, em 1985 e que foi inaugurado oficialmente em 1999. A reserva técnica possui brinquedos doados, material pedagógico, fotos, documentos e o acervo de esculturas sobre “Cenas Infantis” da artista plástica Sandra Guinle. ","Av. da Universidade, 308, Cidade Universitária, São Paulo, SP",+55 11 3091 7545,Terça a Sexta: 10h00 às 17h00,meb@usp.br,www.meb.fe.usp.br/,"The Museum was conceived from the development of accomplishments made by the Toy and Pedagogical Materials Laboratory, created in 1985 at the School of Education and officially inaugurated in 1999. The collection involves donated toys, pedagogical material, photographs, documents and the collection of sculptures Cenas Infantis (Childhood Scenes) by the artist Sandra Guinle.","Av. da Universidade, 308, Cidade Universitária, São Paulo, SP",+55 11 3091 7545,Tuesday to Friday: 10AM - 5PM,meb@usp.br,www.meb.fe.usp.br/,,,,,,,,,,,,,1,,1,,,
16,,3,museu,Museu de Geociências,Geosciences Museum,1011,700,1011,566,"O Museu abriga uma das coleções mais importantes das Ciências da Terra no Brasil. O acervo possui cerca de seis mil amostras entre minerais, minérios, rochas, gemas, fósseis, espeleotemas e meteoritos. O Museu é um laboratório de ensino para os estudantes de diversos cursos de graduação e pós-graduação da USP e de outras instituições.","Rua do Lago, 562, Cidade Universitária, São Paulo, SP",+ 55 11 3091 3952,"Terça a Sexta: 8h00 às 17h00, Sábados, Domingos e Feriados: 10h00 às 16h00",mugeo@usp.br,www.igc.usp.br/museu,"The Museum of Geosciences holds one of the most important collections of Earth Sciences in Brazil, which comprises roughly six thousand samples of minerals, ores, rocks, gemstones, fossils, speleothems and meteorites. The museum is a teaching laboratory for both undergraduate and graduate students from the University of Sao Paulo and other institutions.","Rua do Lago, 562, Cidade Universitária, São Paulo, SP",+ 55 11 3091 3952,"Tuesday to Friday: 8AM - 5PM, Saturdays, Sundays and holidays: 10AM - 4PM",mugeo@usp.br,www.igc.usp.br/museu,,,,,,,,,,,1,,,1,,,,
18,,3,museu,Museu Oceanográfico,Oceanography Museum,610,567,624,567,"Desde 1988, mantém o objetivo inicial de apoiar as atividades de ensino, pesquisa e extensão do Instituto Oceanográfico da USP. O acervo é composto por embarcações, instrumentos oceanográficos e informações sobre pesquisas do IOUSP, o acervo vivo está disposto em 15 aquários que representam ecossistemas marinhos brasileiros, difundindo a oceanografia através de exposições e outros programas. ","Praça do Oceanográfico, 191, Cidade Universitária,  São Paulo, SP",+55 11 3091 6587/7149,"Terça a Sexta: 9h00 às 17h00, Sábados, Domingos e Feriados das 10h00 às 16h00
",museu.io@usp.br,www.io.usp.br,"Since 1988, the Oceanography Museum maintains its original goal of supporting the Oceanography Institute at the University of Sao Paulo in teaching, researching and sharing knowledge. Its collection is composed of vessels, oceanography instruments and data on the Institute’s research, and the living collection is dispersed among fifteen aquariums, which represent Brazilian marine ecosystems. It helps to disseminate the oceanography field through exhibitions and other programmes.","Praça do Oceanográfico, 191, Cidade Universitária,  São Paulo, SP",+55 11 3091 6587/7149,"Tuesday to Friday 9AM - 5PM, Saturdays, Sundays and holidays 10AM - 4PM",museu.io@usp.br,www.io.usp.br,,,,,,,,,,,,1,,1,,,,
22,,3,bem,Centro de Práticas Esportivo,Sport Activities Complex,1486,580,1230,580,"O projeto do Cepeusp está inserido no contexto dos Jogos Pan-americanos que seriam realizados em São Paulo em 1975, mas acabou sendo transferido. ",,,,,,"The project for the Centre for Sport Activities is part of the context of the 1975 Pan American Games, which were going to take place in Sao Paulo, but ended up being transferred.",,,,,,Ícaro de Castro e Mello e Hélio Pasta,décadas de 1960-1970,"Praça 02, Prof. Rubião Meira, 61 - Cidade Universitária, São Paulo, SP",Em processo de tombamento (Conpresp abertura em 2004),Ícaro de Castro e Mello and Hélio Pasta,1960s-1970s,"Praça 02, Professor Rubião Meira 61, University City Campus, Sao Paulo, SP",In the listing process (Conpresp process began in 2004),1,,,1,,,,1,,
27,,3,bem,Prédio da Faculdade de Arquitetura e Urbanismo,School of Architecture and Urbanism Building,870,520,870,520,"O projeto está estreitamente relacionado as propostas pedagógicas e novas estruturas do ensino de arquitetura que marcavam a Faculdade de Arquitetura na década de 1950 e 1960. Essas questões refletem na disposição do programa do edifício, por exemplo, na centralidade dos atêlies. A obra foi premiada e consolidou-se como referência da Escola Paulista da Arquitetura Moderna Brasileira.",,,,,,"The project is closely related to the pedagogical proposals and the new structures for education in architecture that marked the School of Architecture in the 1950s and 1960s. These issues are reflected in the building’s work programme —for example, in the centrality of the studios in the building. The design received awards and established itself as a benchmark of the Sao Paulo school of Brazilian modern architecture.",,,,,,João Baptista Vilanova Artigas e Carlos Cascaldi,1966-1969,"Rua do Lago, 876 – Cidade Universitária, São Paulo, SP","Condephaat (1981), Conpresp (1991)",João Baptista Vilanova Artigas and Carlos Cascaldi,1966-1969,"Rua do Lago 876, Sao Paulo, SP","Condephaat (1981), Conpresp (1991)",1,,,1,,,,1,,
30,,3,bem,Prédio do Departamento de História e Geografia,Department of History and Geography Building,1180,690,1180,690,"O edifício do Departamento de História e Geografia foi o único do conjunto da FFLCH  executado. O edifício tem dois pavimentos, tendo como principal elemento o pátio interno que mantém a permeabilidade visual de todo o edifício, além de possibilitar uma grande área de convivência e sociabilidade. O projeto foi premiado pelo Instituto dos Arquitetos do Brasil (IAB), em 1967.",,,,,,"The History and Geography Department building was the only one that was constructed from the complex of the School of Philosophy, Languages and Humanities. The building has two floors and its main element is the inner patio, which gives visual permeability to the whole building, besides creating a large living and social area. The project received an award from the Brazilian Institute of Architects in 1967. ",,,,,,Eduardo Corona,1961-1964,"Avenida Prof. Lineu Prestes, 338 – Cidade Universitária, São Paulo, SP",Em processo de tombamento (Conpresp abertura em 2004),Eduardo Corona,1961-1964,"Avenida Professor Lineu Prestes 338, University City Campus, Sao Paulo, SP",In the listing process (Conpresp process began in 2004),1,,,1,,,,1,,
31,,3,bem,Prédio do Departamento de Mecânica da Escola Politécnica,Mechanics Department of the Polytechnic School Building,910,160,910,160,O edifício fazia parte do conjunto proposto no Plano para Construção da Cidade Universitária de 1961-62. Edifício do Departamento de Mecânica destaca-se entre o conjunto de prédios de arquitetura moderna da Cidade Universitária.,,,,,,The building was part of the complex proposed in the 1961-1962 Plan for the Construction of the University City. The Mechanics Department building is highlighted among the cluster of modern architecture constructions at the University City campus.,,,,,,Ernesto de Carvalho Mange e Ariaki Kato,1961-1962,"Av. Prof. Mello Moraes 2231 – Cidade Universitária, São Paulo, SP",Em processo de tombamento (Conpresp abertura em 2004),Ernesto de Carvalho Mange and Ariaki Kato,1961-1962,"Avenida Professor Mello Moraes 2231, University City Campus, Sao Paulo, SP",In the listing process (Conpresp process began in 2004),1,,,1,,,,1,,
32,,3,bem,Prédio do Departamento de Metalurgia da Escola Politécnica,Metallurgy Department of the Polytechnic School Building,460,120,353,120,O edifício projetado pelo arquiteto Oswaldo Bratke é marcado pela presença dos elementos vazados em suas fachadas que garantem ritmo e leveza ao volume horizontal de concreto aparente. ,,,,,,"The building designed by the architect Oswaldo Bratke is marked by the presence of perforated elements on its façades, which grant rhythm and lightness to the horizontal volume of fair-faced concrete finish.",,,,,,Oswaldo Arthur Bratke,1960-1967,"Av. Prof. Mello Moraes 2231 – Cidade Universitária, São Paulo, SP",Em processo em tombamento (Conpresp abertura em 2004),Oswaldo Arthur Bratke,1960-1967,"Avenida Professor Mello Moraes, University City Campus, Sao Paulo, SP","Avenida Professor Mello Moraes, University City Campus, Sao Paulo, SP",1,,,1,,,,1,,
40,,,but,PT,PT,1790,90,1750,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,but,EN,EN,1700,90,1720,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,but,MUSEUS E ACERVOS,MUSEUMS AND COLLECTIONS,60,160,60,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,but,PATRIMÔNIO CONSTRUÍDO,BUILT HERITAGE,60,150,20,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,but,ESTADO DE SÃO PAULO,STATE OF SÃO PAULO,40,190,50,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,but,CIDADE DE SÃO PAULO,CITY OF SÃO PAULO,50,330,60,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,but,CIDADE UNIVERSITÁRIA,UNIVERSITY CITY CAMPUS,60,370,60,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,but,grupos,LINE,140,50,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,but,MAPA,MAP,60,90,60,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,but,AREAS,,60,260,30,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,but,ARTES,,160,270,160,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,but,HISTÓRIA,,160,320,140,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,but,NATUREZA,,150,370,160,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,but,TÉCNICA,,160,360,130,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,but,EDUCAÇÃO E CULTURA,,150,450,150,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,but,TIPO INSTITUCIONAL,,50,570,60,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,but,MUSEU,,270,560,240,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,but,ACERVO,,270,600,270,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,but,PATRIMONIO CULTURAL,,270,640,240,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,but,CENTRO DE EXTENSÃO UNIVERSITÁRIA,,260,690,260,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,but,HERBARIO,,260,730,260,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
